Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1976	1976	Zelazny, Roger	https://en.wikipedia.org//wiki/Roger_Zelazny	Won	"Home Is the Hangman"	https://en.wikipedia.org//wiki/My_Name_Is_Legion_(Zelazny_stories)	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1976	1976	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	"The Storms of Windhaven"	https://en.wikipedia.org//wiki/Windhaven	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1976	1976	Tuttle, Lisa	https://en.wikipedia.org//wiki/Lisa_Tuttle	Nominated	"The Storms of Windhaven"	https://en.wikipedia.org//wiki/Windhaven	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1976	1976	Niven, Larry	https://en.wikipedia.org//wiki/Larry_Niven	Nominated	"ARM"	https://en.wikipedia.org//wiki/ARM_(novella)	Epoch (Putnam Publishing Group)	https://en.wikipedia.org//wiki/G._P._Putnam%27s_Sons
1976	1976	Budrys, Algis	https://en.wikipedia.org//wiki/Algis_Budrys	Nominated	"The Silent Eyes of Time"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Cowper, Richard	https://en.wikipedia.org//wiki/Richard_Cowper	Nominated	"The Custodians"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1977	1977	Robinson, Spider	https://en.wikipedia.org//wiki/Spider_Robinson	Won	"By Any Other Name"	https://en.wikipedia.org//wiki/Telempath	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1977	1977	Tiptree, Jr., James	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Won	"Houston, Houston, Do You Read?"	https://en.wikipedia.org//wiki/Houston,_Houston,_Do_You_Read%3F	Aurora: Beyond Equality (Fawcett Publications)	https://en.wikipedia.org//wiki/Fawcett_Publications
1977	1977	Bishop, Michael	https://en.wikipedia.org//wiki/Michael_Bishop_(author)	Nominated	"The Samurai and the Willows"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1977	1977	Cowper, Richard	https://en.wikipedia.org//wiki/Richard_Cowper	Nominated	"Piper at the Gates of Dawn"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1978	1978	Robinson, Spider	https://en.wikipedia.org//wiki/Spider_Robinson	Won	"Stardance"	https://en.wikipedia.org//wiki/Stardance	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1978	1978	Robinson, Jeanne	https://en.wikipedia.org//wiki/Jeanne_Robinson	Won	"Stardance"	https://en.wikipedia.org//wiki/Stardance	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1978	1978	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"In the Hall of the Martian Kings"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1978	1978	McIntyre, Vonda N.	https://en.wikipedia.org//wiki/Vonda_N._McIntyre	Nominated	"Aztecs"		2076: The American Tricentennial (Pyramid Books)	https://en.wikipedia.org//wiki/Jove_Books
1978	1978	Benford, Gregory	https://en.wikipedia.org//wiki/Gregory_Benford	Nominated	"A Snark in the Night"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1978	1978	Laumer, Keith	https://en.wikipedia.org//wiki/Keith_Laumer	Nominated	"The Wonderful Secret"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1979	1979	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Won	"The Persistence of Vision"	https://en.wikipedia.org//wiki/The_Persistence_of_Vision_(short_story)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1979	1979	Vinge, Joan D.	https://en.wikipedia.org//wiki/Joan_D._Vinge	Nominated	"Fireship"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1979	1979	Priest, Christopher	https://en.wikipedia.org//wiki/Christopher_Priest_(novelist)	Nominated	"The Watched"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1979	1979	Aldiss, Brian	https://en.wikipedia.org//wiki/Brian_Aldiss	Nominated	"Enemies of the System"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1979	1979	Wolfe, Gene	https://en.wikipedia.org//wiki/Gene_Wolfe	Nominated	"Seven American Nights"		Orbit #20 (Putnam Publishing Group)	https://en.wikipedia.org//wiki/Orbit_(anthology_series)
1980	1980	Longyear, Barry B.	https://en.wikipedia.org//wiki/Barry_B._Longyear	Won	"Enemy Mine"	https://en.wikipedia.org//wiki/Enemy_Mine_(novella)	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1980	1980	Card, Orson Scott	https://en.wikipedia.org//wiki/Orson_Scott_Card	Nominated	"Songhouse"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1980	1980	Kingsbury, Donald	https://en.wikipedia.org//wiki/Donald_Kingsbury	Nominated	"The Moon Goddess and the Son"	https://en.wikipedia.org//wiki/The_Moon_Goddess_and_the_Son	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1980	1980	Reynolds, Ted	https://en.wikipedia.org//wiki/Ted_Reynolds_(writer)	Nominated	"Ker-Plop"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1980	1980	Schenck, Hilbert	https://en.wikipedia.org//wiki/Hilbert_Schenck	Nominated	"The Battle of the Abaco Reefs"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Dickson, Gordon R.	https://en.wikipedia.org//wiki/Gordon_R._Dickson	Won	"Lost Dorsai"	https://en.wikipedia.org//wiki/Lost_Dorsai	Destinies #2 (Ace Books)	https://en.wikipedia.org//wiki/Ace_Books
1981	1981	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	"One-Wing"	https://en.wikipedia.org//wiki/Windhaven	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1981	1981	Tuttle, Lisa	https://en.wikipedia.org//wiki/Lisa_Tuttle	Nominated	"One-Wing"	https://en.wikipedia.org//wiki/Windhaven	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1981	1981	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	"Nightflyers"	https://en.wikipedia.org//wiki/Nightflyers	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
