Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1979	1979	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Nominated	"Count the Clock that Tells the Time"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1979	1979	Vinge, Joan D.	https://en.wikipedia.org/wiki/Joan_D._Vinge	Nominated	"View From a Height"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1979	1979	Bryant, Edward	https://en.wikipedia.org/wiki/Edward_Bryant	Nominated	"Stone"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1979	1979	Watson, Ian	https://en.wikipedia.org/wiki/Ian_Watson_(author)	Nominated	"The Very Slow Time Machine"		Anticipations (Faber and Faber)	https://en.wikipedia.org/wiki/Faber_and_Faber
1980	1980	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Won	"The Way of Cross and Dragon"	https://en.wikipedia.org/wiki/The_Way_of_Cross_and_Dragon	Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1980	1980	Card, Orson Scott	https://en.wikipedia.org/wiki/Orson_Scott_Card	Nominated	"Unaccompanied Sonata"	https://en.wikipedia.org/wiki/Unaccompanied_Sonata	Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1980	1980	Reynolds, Ted	https://en.wikipedia.org/wiki/Ted_Reynolds_(writer)	Nominated	"Can These Bones Live?"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1980	1980	Bryant, Edward	https://en.wikipedia.org/wiki/Edward_Bryant	Nominated	"giANTS"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1980	1980	Willis, Connie	https://en.wikipedia.org/wiki/Connie_Willis	Nominated	"Daisy, In the Sun"		Galileo	https://en.wikipedia.org/wiki/Galileo_(magazine)
1981	1981	Simak, Clifford D.	https://en.wikipedia.org/wiki/Clifford_D._Simak	Won	"Grotto of the Dancing Deer"	https://en.wikipedia.org/wiki/Grotto_of_the_Dancing_Deer	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1981	1981	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Nominated	"Our Lady of the Sauropods"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1981	1981	Petry, Susan C.		Nominated	"Spidersong"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Duntemann, Jeff		Nominated	"Cold Hands"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1981	1981	Duntemann, Jeff		Nominated	"Guardian"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1982	1982	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Won	"The Pusher"	https://en.wikipedia.org//w/index.php?title=The_Pusher_(short_story)&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Nominated	"The Woman the Unicorn Loved"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1982	1982	Sucharitkul, Somtow	https://en.wikipedia.org/wiki/S._P._Somtow	Nominated	"Absent Thee from Felicity Awhile"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1982	1982	Guthridge, George	https://en.wikipedia.org/wiki/George_Guthridge	Nominated	"The Quiet"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1983	1983	Robinson, Spider	https://en.wikipedia.org/wiki/Spider_Robinson	Won	"Melancholy Elephants"	https://en.wikipedia.org/wiki/Melancholy_Elephants	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1983	1983	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Nominated	"Sur"		The New Yorker	https://en.wikipedia.org/wiki/The_New_Yorker
1983	1983	Tiptree, Jr., James	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Nominated	"The Boy Who Waterskied to Forever"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1983	1983	Sterling, Bruce	https://en.wikipedia.org/wiki/Bruce_Sterling	Nominated	"Spider Rose"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1983	1983	Waldrop, Howard	https://en.wikipedia.org/wiki/Howard_Waldrop	Nominated	"Ike at the Mike"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
