

Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1974	1974	McIntyre, Vonda N.	https://en.wikipedia.org//wiki/Vonda_N._McIntyre	Nominated	"Of Mist, and Grass, and Sand"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1974	1974	Tiptree, Jr., James	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Nominated	"Love Is the Plan the Plan Is Death"	https://en.wikipedia.org//wiki/Love_Is_the_Plan_the_Plan_Is_Death	The Alien Condition	https://en.wikipedia.org//wiki/Ballantine_Books
1974	1974	Effinger, George Alec	https://en.wikipedia.org//wiki/George_Alec_Effinger	Nominated	"The City on the Sand"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1974	1974	Pournelle, Jerry	https://en.wikipedia.org//wiki/Jerry_Pournelle	Nominated	"He Fell into a Dark Hole"	https://en.wikipedia.org//wiki/He_Fell_into_a_Dark_Hole	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1975	1975	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Won	"Adrift Just Off the Islets of Langerhans: Latitude 38° 54' N, Longitude 77° 00' 13" W"	https://en.wikipedia.org//wiki/Adrift_Just_Off_the_Islets_of_Langerhans	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1975	1975	Asimov, Isaac	https://en.wikipedia.org//wiki/Isaac_Asimov	Nominated	"—That Thou art Mindful of Him"	https://en.wikipedia.org//wiki/%E2%80%94That_Thou_art_Mindful_of_Him	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1975	1975	Leiber, Fritz	https://en.wikipedia.org//wiki/Fritz_Leiber	Nominated	"Midnight by the Morphy Watch"		If	https://en.wikipedia.org//wiki/If_(magazine)
1975	1975	Lupoff, Richard A.	https://en.wikipedia.org//wiki/Richard_A._Lupoff	Nominated	"After the Dreamtime"	https://en.wikipedia.org//wiki/Space_War_Blues	New Dimensions #4 (Doubleday)	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1975	1975	Pournelle, Jerry	https://en.wikipedia.org//wiki/Jerry_Pournelle	Nominated	"Extreme Prejudice"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1975	1975	Walling, William		Nominated	"Nix Olympica"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1975	1975	Wilhelm, Kate	https://en.wikipedia.org//wiki/Kate_Wilhelm	Nominated	"A Brother to Dragons, a Companion of Owls"		Orbit #14	https://en.wikipedia.org//wiki/Orbit_(anthology_series)
1976	1976	Niven, Larry	https://en.wikipedia.org//wiki/Larry_Niven	Won	"The Borderland of Sol"	https://en.wikipedia.org//wiki/The_Borderland_of_Sol	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1976	1976	Le Guin, Ursula K.	https://en.wikipedia.org//wiki/Ursula_K._Le_Guin	Nominated	"The New Atlantis"		The New Atlantis	https://en.wikipedia.org//wiki/Hachette_Book_Group_USA
1976	1976	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	"And Seven Times Never Kill Man"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1976	1976	Reamy, Tom	https://en.wikipedia.org//wiki/Tom_Reamy	Nominated	"San Diego Lightfoot Sue"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Pournelle, Jerry	https://en.wikipedia.org//wiki/Jerry_Pournelle	Nominated	"Tinker"		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1977	1977	Asimov, Isaac	https://en.wikipedia.org//wiki/Isaac_Asimov	Won	"The Bicentennial Man"	https://en.wikipedia.org//wiki/The_Bicentennial_Man	Stellar #2 (Ballantine Books)	https://en.wikipedia.org//wiki/Ballantine_Books
1977	1977	Le Guin, Ursula K.	https://en.wikipedia.org//wiki/Ursula_K._Le_Guin	Nominated	"The Diary of the Rose"		Future Power (Random House)	https://en.wikipedia.org//wiki/Random_House
1977	1977	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"Gotta Sing, Gotta Dance"	https://en.wikipedia.org//wiki/Eight_Worlds	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1977	1977	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"The Phantom of Kansas"	https://en.wikipedia.org//wiki/Eight_Worlds	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1978	1978	Vinge, Joan D.	https://en.wikipedia.org//wiki/Joan_D._Vinge	Won	"Eyes of Amber"	https://en.wikipedia.org//w/index.php?title=Eyes_of_Amber&action=edit&redlink=1	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1978	1978	Card, Orson Scott	https://en.wikipedia.org//wiki/Orson_Scott_Card	Nominated	"Ender's Game"	https://en.wikipedia.org//wiki/Ender%27s_Game_(short_story)	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1978	1978	Tiptree, Jr., James	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Nominated	"The Screwfly Solution"	https://en.wikipedia.org//wiki/The_Screwfly_Solution	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1978	1978	Delany, Samuel R.	https://en.wikipedia.org//wiki/Samuel_R._Delany	Nominated	"Prismatica"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1978	1978	Scholz, Carter	https://en.wikipedia.org//wiki/Carter_Scholz	Nominated	"The Ninth Symphony of Ludwig van Beethoven and Other Lost Songs"		Universe #7	https://en.wikipedia.org//wiki/Bantam_Spectra
1979	1979	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Won	"Hunter's Moon"	https://en.wikipedia.org//w/index.php?title=Hunter%27s_Moon_(story)&action=edit&redlink=1	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1979	1979	Card, Orson Scott	https://en.wikipedia.org//wiki/Orson_Scott_Card	Nominated	"Mikal's Songbird"	https://en.wikipedia.org//wiki/Mikal%27s_Songbird	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1979	1979	Disch, Thomas	https://en.wikipedia.org//wiki/Thomas_Disch	Nominated	"The Man Who Had No Idea"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1979	1979	Ing, Dean	https://en.wikipedia.org//wiki/Dean_Ing	Nominated	"Devil You Don't Know"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1979	1979	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"The Barbie Murders"	https://en.wikipedia.org//wiki/Eight_Worlds	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1980	1980	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Won	"Sandkings"	https://en.wikipedia.org//wiki/Sandkings_(novelette)	Omni	https://en.wikipedia.org//wiki/Omni_(magazine)
1980	1980	Longyear, Barry B.	https://en.wikipedia.org//wiki/Barry_B._Longyear	Nominated	"Homecoming"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1980	1980	Niven, Larry	https://en.wikipedia.org//wiki/Larry_Niven	Nominated	"The Locusts"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1980	1980	McIntyre, Vonda N.	https://en.wikipedia.org//wiki/Vonda_N._McIntyre	Nominated	"Fireflood"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
