Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1973	1973	Rotsler, William	https://en.wikipedia.org//wiki/William_Rotsler	Nominated	"Patron of the Arts"		Universe 2	https://en.wikipedia.org//wiki/Universe_2
1973	1973	Wilhelm, Kate	https://en.wikipedia.org//wiki/Kate_Wilhelm	Nominated	The Funeral		Again, Dangerous Visions (Doubleday)	https://en.wikipedia.org//wiki/Again,_Dangerous_Visions
1974	1974	McIntyre, Vonda N.	https://en.wikipedia.org//wiki/Vonda_N._McIntyre	Won	"Of Mist, and Grass, and Sand"	https://en.wikipedia.org//wiki/Dreamsnake	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1974	1974	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Nominated	The Deathbird	https://en.wikipedia.org//wiki/The_Deathbird	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1974	1974	Sturgeon, Theodore	https://en.wikipedia.org//wiki/Theodore_Sturgeon	Nominated	"Case and the Dreamer"		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1974	1974	Tiptree, Jr., James	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Nominated	The Girl Who Was Plugged In	https://en.wikipedia.org//wiki/The_Girl_Who_Was_Plugged_In	New Dimensions 3	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1975	1975	Eklund, Gordon	https://en.wikipedia.org//wiki/Gordon_Eklund	Won	"If the Stars Are Gods"	https://en.wikipedia.org//w/index.php?title=If_the_Stars_Are_Gods&action=edit&redlink=1	Universe 4	https://en.wikipedia.org//wiki/Random_House
1975	1975	Benford, Gregory	https://en.wikipedia.org//wiki/Gregory_Benford	Won	"If the Stars Are Gods"	https://en.wikipedia.org//w/index.php?title=If_the_Stars_Are_Gods&action=edit&redlink=1	Universe 4	https://en.wikipedia.org//wiki/Random_House
1975	1975	Grant, Charles L.	https://en.wikipedia.org//wiki/Charles_L._Grant	Nominated	The Rest Is Silence		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1975	1975	Reamy, Tom	https://en.wikipedia.org//wiki/Tom_Reamy	Nominated	"Twilla"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Reamy, Tom	https://en.wikipedia.org//wiki/Tom_Reamy	Won	"San Diego Lightfoot Sue"	https://en.wikipedia.org//w/index.php?title=San_Diego_Lightfoot_Sue&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Arnason, Eleanor	https://en.wikipedia.org//wiki/Eleanor_Arnason	Nominated	The Warlord of Saturn's Moons		New Worlds 6 (Sphere Books)	https://en.wikipedia.org//wiki/Sphere_Books
1976	1976	Bishop, Michael	https://en.wikipedia.org//wiki/Michael_Bishop_(author)	Nominated	"Blooded on Arachne"		Epoch (Berkley Books)	https://en.wikipedia.org//wiki/Berkley_Books
1976	1976	Cowper, Richard	https://en.wikipedia.org//wiki/John_Middleton_Murry,_Jr.	Nominated	The Custodians		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Dann, Jack	https://en.wikipedia.org//wiki/Jack_Dann	Nominated	The Dybbuk Dolls		New Dimensions 5	https://en.wikipedia.org//wiki/Harper_(publisher)
1976	1976	Davidson, Avram	https://en.wikipedia.org//wiki/Avram_Davidson	Nominated	"Polly Charms, the Sleeping Woman"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Garrett, Randall	https://en.wikipedia.org//wiki/Randall_Garrett	Nominated	The Final Fighting of Fion Mac Cumhail		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Le Guin, Ursula K.	https://en.wikipedia.org//wiki/Ursula_K._Le_Guin	Nominated	The New Atlantis		Template:New Atlantis (Tor Books)	https://en.wikipedia.org//w/index.php?title=Template:New_Atlantis&action=edit&redlink=1
1976	1976	Malzberg, Barry N.	https://en.wikipedia.org//wiki/Barry_N._Malzberg	Nominated	A Galaxy Called Rome		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Strete, Craig	https://en.wikipedia.org//wiki/Craig_Strete	Nominated	The Bleeding Man		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1976	1976	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"Retrograde Summer"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1977	1977	Asimov, Isaac	https://en.wikipedia.org//wiki/Isaac_Asimov	Won	The Bicentennial Man	https://en.wikipedia.org//wiki/The_Bicentennial_Man	Stellar 2 (Ballantine Books)	https://en.wikipedia.org//wiki/Ballantine_Books
1977	1977	Carrington, Grant		Nominated	"His Hour Upon the Stage"		Amazing Stories	https://en.wikipedia.org//wiki/Amazing_Stories
1977	1977	Utley, Steven	https://en.wikipedia.org//wiki/Steven_Utley	Nominated	"Custer's Last Jump"		Universe 6	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1977	1977	Waldrop, Howard	https://en.wikipedia.org//wiki/Howard_Waldrop	Nominated	"Custer's Last Jump"	https://en.wikipedia.org//wiki/The_Bicentennial_Man	Universe 6	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1977	1977	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"In the Bowl"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1978	1978	Sheldon, Alice	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Won	The Screwfly Solution	https://en.wikipedia.org//wiki/The_Screwfly_Solution	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1978	1978	Bryant, Edward	https://en.wikipedia.org//wiki/Edward_Bryant	Nominated	"Particle Theory"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1978	1978	Leiber, Fritz	https://en.wikipedia.org//wiki/Fritz_Leiber	Nominated	A Rite of Spring		Universe 7	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1978	1978	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	The Stone City		New Voices in Science Fiction (Macmillan Publishers)	https://en.wikipedia.org//wiki/Macmillan_Publishers
1978	1978	Scholz, Carter	https://en.wikipedia.org//wiki/Carter_Scholz	Nominated	The Ninth Symphony of Ludwig van Beethoven and Other Lost Songs		Universe 7	https://en.wikipedia.org//wiki/Ace_Books
1979	1979	Grant, Charles L.	https://en.wikipedia.org//wiki/Charles_L._Grant	Won	A Glow of Candles, a Unicorn's Eye	https://en.wikipedia.org//w/index.php?title=A_Glow_of_Candles,_a_Unicorn%27s_Eye&action=edit&redlink=1	Graven Images (Thomas Nelson)	https://en.wikipedia.org//wiki/Thomas_Nelson_(publisher)
1979	1979	Card, Orson Scott	https://en.wikipedia.org//wiki/Orson_Scott_Card	Nominated	"Mikal's Songbird"	https://en.wikipedia.org//wiki/Songmaster	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1979	1979	Ing, Dean	https://en.wikipedia.org//wiki/Dean_Ing	Nominated	"Devil You Don't Know"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1980	1980	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Won	"Sandkings"	https://en.wikipedia.org//wiki/Sandkings_(novelette)	Omni	https://en.wikipedia.org//wiki/Omni_(magazine)
1980	1980	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Nominated	The Ways of Love		Destinies
1980	1980	Dann, Jack	https://en.wikipedia.org//wiki/Jack_Dann	Nominated	"Camps"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1980	1980	Le Guin, Ursula K.	https://en.wikipedia.org//wiki/Ursula_K._Le_Guin	Nominated	The Pathways of Desire		New Dimensions 9	https://en.wikipedia.org//wiki/Harper_(publisher)
1980	1980	Shea, Michael	https://en.wikipedia.org//wiki/Michael_Shea_(author)	Nominated	The Angel of Death		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1980	1980	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"Options"		Universe 9	https://en.wikipedia.org//wiki/Doubleday_(publisher)
