Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1972	1972	Wilhelm, Kate	https://en.wikipedia.org/wiki/Kate_Wilhelm	Nominated	"The Infinity Box"		Orbit 9	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_9
1972	1972	Wilhelm, Kate	https://en.wikipedia.org/wiki/Kate_Wilhelm	Nominated	"The Plastic Abyss"		Abyss (Doubleday)	https://en.wikipedia.org/wiki/Doubleday_(publisher)
1973	1973	Clarke, Arthur C.	https://en.wikipedia.org/wiki/Arthur_C._Clarke	Won	"A Meeting with Medusa"	https://en.wikipedia.org/wiki/A_Meeting_with_Medusa	Playboy	https://en.wikipedia.org/wiki/Playboy
1973	1973	Gotlieb, Phyllis	https://en.wikipedia.org/wiki/Phyllis_Gotlieb	Nominated	"Son of the Morning"	https://en.wikipedia.org/wiki/Heroes_in_Hell	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1973	1973	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Nominated	"The Word for World Is Forest"	https://en.wikipedia.org/wiki/The_Word_for_World_Is_Forest	Again, Dangerous Visions (Doubleday)	https://en.wikipedia.org/wiki/Again,_Dangerous_Visions
1973	1973	Lupoff, Richard A.	https://en.wikipedia.org/wiki/Richard_A._Lupoff	Nominated	"With the Bentfin Boomer Boys on Little Old New Alabama"	https://en.wikipedia.org/wiki/Space_War_Blues	Again, Dangerous Visions (Doubleday)	https://en.wikipedia.org/wiki/Again,_Dangerous_Visions
1973	1973	Pohl, Frederik	https://en.wikipedia.org/wiki/Frederik_Pohl	Nominated	"The Gold at the Starbow's End"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1973	1973	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Nominated	"The Fifth Head of Cerberus"	https://en.wikipedia.org/wiki/The_Fifth_Head_of_Cerberus	Orbit 10 (G. P. Putnam's Sons)	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_10
1974	1974	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Won	"The Death of Doctor Island"	https://en.wikipedia.org//w/index.php?title=The_Death_of_Doctor_Island&action=edit&redlink=1	Universe 3	https://en.wikipedia.org/wiki/Universe_3
1974	1974	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Nominated	"Death and Designation Among the Asadi"		If	https://en.wikipedia.org/wiki/If_(magazine)
1974	1974	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Nominated	"The White Otters of Childhood"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1974	1974	Dann, Jack	https://en.wikipedia.org/wiki/Jack_Dann	Nominated	"Junction"		Fantastic	https://en.wikipedia.org/wiki/Fantastic_(magazine)
1974	1974	Dozois, Gardner	https://en.wikipedia.org/wiki/Gardner_Dozois	Nominated	"Chains of the Sea"		Chains of the Sea (Thomas Nelson)	https://en.wikipedia.org/wiki/Thomas_Nelson_(publisher)
1975	1975	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Won	"Born with the Dead"	https://en.wikipedia.org//w/index.php?title=Born_with_the_Dead&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1975	1975	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Nominated	"On the Street of the Serpents"		Science Fiction Emphasis 1 (Ballantine Books)	https://en.wikipedia.org/wiki/Ballantine_Books
1975	1975	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Nominated	"A Song for Lya"	https://en.wikipedia.org/wiki/A_Song_for_Lya	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1976	1976	Zelazny, Roger	https://en.wikipedia.org/wiki/Roger_Zelazny	Won	"Home Is the Hangman"	https://en.wikipedia.org//w/index.php?title=Home_Is_the_Hangman&action=edit&redlink=1	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1976	1976	Carlson, William K.		Nominated	"Sunrise West"		Vertex
1976	1976	Tuttle, Lisa	https://en.wikipedia.org/wiki/Lisa_Tuttle	Nominated	"The Storms of Windhaven"	https://en.wikipedia.org/wiki/Windhaven	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1976	1976	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Nominated	"The Storms of Windhaven"	https://en.wikipedia.org/wiki/Windhaven	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1976	1976	Tiptree, Jr., James	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Nominated	"A Momentary Taste of Being"	https://en.wikipedia.org/wiki/A_Momentary_Taste_of_Being	The New Atlantis (Hawthorn Books)
1977	1977	Tiptree, Jr., James	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Won	"Houston, Houston, Do You Read?"	https://en.wikipedia.org/wiki/Houston,_Houston,_Do_You_Read%3F	Aurora: Beyond Equality (Gold Medal Books)	https://en.wikipedia.org/wiki/Gold_Medal_Books
1977	1977	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Nominated	"The Samurai and the Willows"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1977	1977	Cowper, Richard	https://en.wikipedia.org/wiki/John_Middleton_Murry,_Jr.	Nominated	"Piper at the Gates of Dawn"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1977	1977	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Nominated	"The Eyeflash Miracles"		Future Power (Random House)	https://en.wikipedia.org/wiki/Random_House
1978	1978	Robinson, Spider	https://en.wikipedia.org/wiki/Spider_Robinson	Won	"Stardance"	https://en.wikipedia.org/wiki/Stardance	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1978	1978	Robinson, Jeanne	https://en.wikipedia.org/wiki/Jeanne_Robinson	Won	"Stardance"	https://en.wikipedia.org/wiki/Stardance	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1978	1978	McIntyre, Vonda N.	https://en.wikipedia.org/wiki/Vonda_N._McIntyre	Nominated	"Aztecs"		2076: The American Tricentennial (Pyramid Books)	https://en.wikipedia.org/wiki/Jove_Books
1979	1979	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Won	"The Persistence of Vision"	https://en.wikipedia.org//w/index.php?title=The_Persistence_of_Vision_(story)&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1979	1979	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Nominated	"Seven American Nights"		Orbit 20 (Harper & Row)	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_20
1980	1980	Longyear, Barry B.	https://en.wikipedia.org/wiki/Barry_B._Longyear	Won	"Enemy Mine"	https://en.wikipedia.org/wiki/Enemy_Mine_(novella)	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1980	1980	Delany, Samuel R.	https://en.wikipedia.org/wiki/Samuel_R._Delany	Nominated	"The Tale of Gorgik"	https://en.wikipedia.org/wiki/Return_to_Nev%C3%A8r%C3%BFon	Asimov's SF Adventure Magazine	https://en.wikipedia.org/wiki/Asimov%27s_SF_Adventure_Magazine
1980	1980	Pohl, Frederik	https://en.wikipedia.org/wiki/Frederik_Pohl	Nominated	"Mars Masked"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1980	1980	Schenck, Hilbert	https://en.wikipedia.org/wiki/Hilbert_Schenck	Nominated	"The Battle of the Abaco Reefs"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1980	1980	Vinge, Joan D.	https://en.wikipedia.org/wiki/Joan_D._Vinge	Nominated	"Fireship"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1980	1980	Wilson, Richard	https://en.wikipedia.org/wiki/Richard_Wilson_(author)	Nominated	"The Story Writer"		Destinies
1981	1981	Charnas, Suzy McKee	https://en.wikipedia.org/wiki/Suzy_McKee_Charnas	Won	"Unicorn Tapestry"	https://en.wikipedia.org/wiki/Unicorn_Tapestry	New Dimensions 11 (Pocket Books)	https://en.wikipedia.org/wiki/Pocket_Books
1981	1981	Davidson, Avram	https://en.wikipedia.org/wiki/Avram_Davidson	Nominated	"There Beneath the Silky-Trees and Whelmed in Deeper Gulphs Than Me"		Other Worlds 2 (Zebra Books)	https://en.wikipedia.org/wiki/Kensington_Books
1981	1981	Dickson, Gordon R.	https://en.wikipedia.org/wiki/Gordon_R._Dickson	Nominated	"Lost Dorsai"	https://en.wikipedia.org/wiki/Lost_Dorsai	Destinies
1981	1981	Disch, Thomas M.	https://en.wikipedia.org/wiki/Thomas_M._Disch	Nominated	"The Brave Little Toaster"	https://en.wikipedia.org/wiki/The_Brave_Little_Toaster	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Randall, Marta	https://en.wikipedia.org/wiki/Marta_Randall	Nominated	"Dangerous Games"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Shea, Michael	https://en.wikipedia.org/wiki/Michael_Shea_(author)	Nominated	"The Autopsy"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Anderson, Poul	https://en.wikipedia.org/wiki/Poul_Anderson	Won	"The Saturn Game"	https://en.wikipedia.org/wiki/The_Saturn_Game	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1982	1982	Benford, Gregory	https://en.wikipedia.org/wiki/Gregory_Benford	Nominated	"Swarmer, Skimmer"		SF Digest
1982	1982	Dann, Jack	https://en.wikipedia.org/wiki/Jack_Dann	Nominated	"Amnesia"		The Berkley Showcase, Vol 3 (Berkley Books)	https://en.wikipedia.org/wiki/Berkley_Books
1982	1982	Eisenstein, Phyllis	https://en.wikipedia.org/wiki/Phyllis_Eisenstein	Nominated	"In the Western Tradition"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Vinge, Vernor	https://en.wikipedia.org/wiki/Vernor_Vinge	Nominated	"True Names"	https://en.wikipedia.org/wiki/True_Names	Binary Star 5 (Dell Publishing)	https://en.wikipedia.org/wiki/Dell_Publishing
1982	1982	Wilhelm, Kate	https://en.wikipedia.org/wiki/Kate_Wilhelm	Nominated	"The Winter Beach"		Redbook	https://en.wikipedia.org/wiki/Redbook
1983	1983	Kessel, John	https://en.wikipedia.org/wiki/John_Kessel	Won	"Another Orphan"	https://en.wikipedia.org//w/index.php?title=Another_Orphan&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1983	1983	Leiber, Fritz	https://en.wikipedia.org/wiki/Fritz_Leiber	Nominated	"Horrible Imaginings"		Death (Playboy)	https://en.wikipedia.org/wiki/Playboy
1983	1983	Linaweaver, Brad	https://en.wikipedia.org/wiki/Brad_Linaweaver	Nominated	"Moon of Ice"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1983	1983	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Nominated	"Unsound Variations"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1983	1983	Russ, Joanna	https://en.wikipedia.org/wiki/Joanna_Russ	Nominated	"Souls"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1984	1984	Bear, Greg	https://en.wikipedia.org/wiki/Greg_Bear	Won	"Hardfought"	https://en.wikipedia.org//w/index.php?title=Hardfought&action=edit&redlink=1	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1984	1984	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Nominated	"The Gospel According to Gamaliel Crucis"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1984	1984	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Nominated	"Her Habiline Husband"		Universe 13 (Doubleday)	https://en.wikipedia.org/wiki/Doubleday_(publisher)
1984	1984	Davidson, Avram	https://en.wikipedia.org/wiki/Avram_Davidson	Nominated	"Eszterhazy and the Autogóndola-Invention"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1984	1984	McIntyre, Vonda N.	https://en.wikipedia.org/wiki/Vonda_N._McIntyre	Nominated	"Transit"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1984	1984	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Nominated	"Homefaring"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1985	1985	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Won	"Press ENTER"	https://en.wikipedia.org//w/index.php?title=Press_ENTER&action=edit&redlink=1	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1985	1985	Davidson, Avram	https://en.wikipedia.org/wiki/Avram_Davidson	Nominated	"Young Doctor Eszterhazy"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1985	1985	Kress, Nancy	https://en.wikipedia.org/wiki/Nancy_Kress	Nominated	"Trinity"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1985	1985	Pohl, Frederik	https://en.wikipedia.org/wiki/Frederik_Pohl	Nominated	"The Greening of Bed-Stuy"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1985	1985	Shepard, Lucius	https://en.wikipedia.org/wiki/Lucius_Shepard	Nominated	"A Traveler's Tale"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1985	1985	Swanwick, Michael	https://en.wikipedia.org/wiki/Michael_Swanwick	Nominated	"Marrow Death"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1986	1986	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Won	"Sailing to Byzantium"	https://en.wikipedia.org//w/index.php?title=Sailing_to_Byzantium_(novella)&action=edit&redlink=1	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1986	1986	Robinson, Kim Stanley	https://en.wikipedia.org/wiki/Kim_Stanley_Robinson	Nominated	"Green Mars"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1986	1986	Sterling, Bruce	https://en.wikipedia.org/wiki/Bruce_Sterling	Nominated	"Green Days in Brunei"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1986	1986	Tiptree, Jr., James	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Nominated	"The Only Neat Thing to Do"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1986	1986	Wilhelm, Kate	https://en.wikipedia.org/wiki/Kate_Wilhelm	Nominated	"The Gorgon Field"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1986	1986	Zelazny, Roger	https://en.wikipedia.org/wiki/Roger_Zelazny	Nominated	"24 Views of Mt. Fuji, by Hokusai"	https://en.wikipedia.org/wiki/24_Views_of_Mt._Fuji,_by_Hokusai	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1987	1987	Shepard, Lucius	https://en.wikipedia.org/wiki/Lucius_Shepard	Won	"R&R"	https://en.wikipedia.org//w/index.php?title=R%26R_(story)&action=edit&redlink=1	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1987	1987	Benford, Gregory	https://en.wikipedia.org/wiki/Gregory_Benford	Nominated	"Newton Sleep"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1987	1987	Robinson, Kim Stanley	https://en.wikipedia.org/wiki/Kim_Stanley_Robinson	Nominated	"Escape from Kathmandu"	https://en.wikipedia.org/wiki/Escape_from_Kathmandu	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1987	1987	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Nominated	"Gilgamesh in the Outback"	https://en.wikipedia.org/wiki/Gilgamesh_in_the_Outback	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1987	1987	Wilson, F. Paul	https://en.wikipedia.org/wiki/F._Paul_Wilson	Nominated	"Dydeetown Girl"		Far Frontiers 4 (Baen Books	https://en.wikipedia.org/wiki/Baen_Books
1988	1988	Robinson, Kim Stanley	https://en.wikipedia.org/wiki/Kim_Stanley_Robinson	Won	"The Blind Geometer"	https://en.wikipedia.org//w/index.php?title=The_Blind_Geometer&action=edit&redlink=1	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1988	1988	Ford, John M.	https://en.wikipedia.org/wiki/John_M._Ford	Nominated	"Fugue State"		Under the Wheel (Baen Books)	https://en.wikipedia.org/wiki/Baen_Books
1988	1988	Roberts, Keith	https://en.wikipedia.org/wiki/Keith_Roberts	Nominated	"The Tiger Sweater"		Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1988	1988	Ryman, Geoff	https://en.wikipedia.org/wiki/Geoff_Ryman	Nominated	The Unconquered Country		Bantam Spectra	https://en.wikipedia.org/wiki/Bantam_Spectra
1988	1988	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Nominated	"The Secret Sharer"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1988	1988	Williams, Walter Jon	https://en.wikipedia.org/wiki/Walter_Jon_Williams	Nominated	"Witness"		Wild Cards (Bantam Spectra)	https://en.wikipedia.org/wiki/Wild_Cards_(anthology)
